conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict, ,1 core runtime, ,dram bw usage, ,accuracy
1,74148,64512,99456,1792, ,0.802816,0.001728, ,1.4777582908163265,597.3333333333334, ,50176,108,1,1, ,112,2126,443552,0.6479420676718851,0.22851886588269243,287396,101360, ,443552.0,287396.0,730948.0, ,221776.0,143698.0,365474.0, ,110888.0,101360.0,212248.0, ,55444.0,101360.0,156804.0, , ,0.6479420676718851,0.6479420676718851,0.9140754635307697,1.8281509270615395, ,0.13866923502082226,0.2773384700416445,0.47755455881798653,0.646412081324456, ,1724513, ,0.058776013865943603, ,0.4238576340102974
2,12100,64,12100,152, ,0.1936,0.001024, ,1.0,1.0, ,320,64,1,38, ,6,4044,24264,1.1246702934388395,0.6322535443455325,27289,15341, ,24264.0,27289.0,39421.0, ,12132.0,15341.0,21407.0, ,6066.0,15341.0,18374.0, ,3033.0,15341.0,16857.5, , ,1.1246702934388395,1.264507088691065,2.52901417738213,5.05802835476426, ,0.3891580629613658,0.7166347456439482,0.8349297920975292,0.910040041524544, ,25222, ,0.6082388391087146, ,1.5629609071445563
3,3025,1536,3040,608, ,0.0484,0.001024, ,1.0,24.0, ,80,64,1,38, ,24,316,12100,1.6267768595041323,1.0555371900826447,19684,12772, ,12100.0,19684.0,23314.0, ,6050.0,12772.0,14587.0, ,3025.0,12772.0,13679.5, ,1512.5,12772.0,13225.75, , ,1.6267768595041323,2.1110743801652894,4.222148760330579,8.444297520661157, ,0.5478253409968259,0.8755741413587441,0.9336598559888885,0.9656919267338336, ,38829, ,0.3289294084318422, ,0.600427515516753
4,2419,16128,3520,448, ,0.0484,0.009216, ,0.7996694214876033,28.0, ,3025,576,1,1, ,28,788,108900,0.3137190082644628,0.14829201101928374,34164,16149, ,108900.0,34164.0,119149.2, ,54450.0,17082.0,59574.6, ,27225.0,16149.0,32069.7, ,13612.5,16149.0,20232.75, , ,0.3137190082644628,0.3137190082644628,0.593168044077135,1.18633608815427, ,0.1355359498846824,0.2710718997693648,0.5035594346064977,0.7981613967453757, ,124934, ,0.12926024941168937, ,0.9536971520963068
5,24200,128,12100,152, ,0.3872,0.002048, ,1.0,1.0, ,640,128,1,38, ,7,5204,36428,1.0830405182826397,0.7550510596244647,39453,27505, ,36428.0,39453.0,57667.0, ,18214.0,27505.0,36612.0, ,9107.0,27505.0,32058.5, ,4553.5,27505.0,29781.75, , ,1.0830405182826397,1.5101021192489295,3.020204238497859,6.040408476995718, ,0.47696256091005257,0.7512564186605485,0.857962786780417,0.923552175409437, ,37723, ,0.7291307690268537, ,1.5286960209951488
6,9348,1792,6560,448, ,0.0484,0.001024, ,3.0902479338842976,28.0, ,3025,32,2,1, ,56,316,12100,1.7034710743801653,0.2833057851239669,20612,3428, ,12100.0,20612.0,24242.0, ,6050.0,10306.0,12121.0, ,3025.0,5153.0,6060.5, ,1512.5,3428.0,3881.75, , ,1.7034710743801653,1.7034710743801653,1.7034710743801653,2.2664462809917354, ,0.14140747463080605,0.2828149492616121,0.5656298985232242,0.8831068461389837, ,75442, ,0.04543888019935845, ,0.3213329445136661
7,8296,16128,6560,448, ,0.0484,0.009216, ,2.7424793388429753,28.0, ,3025,288,2,1, ,56,553,108900,0.31114784205693297,0.06395775941230487,33884,6965, ,108900.0,33884.0,119065.2, ,54450.0,16942.0,59532.6, ,27225.0,8471.0,29766.3, ,13612.5,6965.0,15702.0, , ,0.31114784205693297,0.31114784205693297,0.31114784205693297,0.511662075298439, ,0.05849736110971132,0.11699472221942264,0.23398944443884528,0.4435740669978347, ,206643, ,0.0337054727234893, ,0.5761879182938692
8,5832,768,368,80, ,0.093312,0.004096, ,1.0,3.0, ,640,256,1,10, ,3,2322,11664,0.7222222222222222,0.6538065843621399,8424,7626, ,11664.0,8424.0,14191.2, ,5832.0,7626.0,9375.6, ,2916.0,7626.0,8500.8, ,1458.0,7626.0,8063.4, , ,0.7222222222222222,1.3076131687242798,2.6152263374485596,5.230452674897119, ,0.5373752748181971,0.813387943171637,0.8970920383963863,0.9457548924771189, ,18010, ,0.42343142698500835, ,0.7879622431982233
9,2916,2560,1472,320, ,0.023328,0.004096, ,2.0,10.0, ,160,256,1,10, ,20,347,11664,1.0949931412894376,0.5493827160493827,12772,6408, ,11664.0,12772.0,16271.2, ,5832.0,6408.0,8157.6, ,2916.0,6408.0,7282.8, ,1458.0,6408.0,6845.4, , ,1.0949931412894376,1.0987654320987654,2.197530864197531,4.395061728395062, ,0.3938246718127735,0.7855251544571933,0.8798813643104301,0.9361030765185381, ,25610, ,0.2502147598594299, ,0.6353455681374464
10,2320,16128,1728,224, ,0.023328,0.036864, ,1.5912208504801097,7.0, ,1458,1152,2,1, ,14,1441,104976,0.2477328151196464,0.09352613930803232,26006,9818, ,104976.0,26006.0,112777.8, ,52488.0,13003.0,56388.9, ,26244.0,9818.0,29189.4, ,13122.0,9818.0,16067.4, , ,0.2477328151196464,0.2477328151196464,0.37410455723212926,0.7482091144642585, ,0.08705614048154867,0.17411228096309733,0.33635497817700943,0.611050947882047, ,109903, ,0.08933332120142308, ,1.0261576117121463
11,11664,2048,368,80, ,0.186624,0.008192, ,1.0,4.0, ,1280,512,1,10, ,4,3520,23328,0.6660665294924554,0.5878772290809328,15538,13714, ,23328.0,15538.0,27989.4, ,11664.0,13714.0,17213.2, ,5832.0,13714.0,15463.6, ,2916.0,13714.0,14588.8, , ,0.6660665294924554,1.1757544581618655,2.351508916323731,4.703017832647462, ,0.48997120338413824,0.7967141496061162,0.8868568767945368,0.9400361921474008, ,31841, ,0.4307025533117678, ,0.8790364624226626
12,5616,3328,3328,416, ,0.023328,0.004096, ,3.8518518518518516,13.0, ,1458,128,2,1, ,26,472,11664,1.1680384087791496,0.17352537722908093,13624,2024, ,11664.0,13624.0,17123.2, ,5832.0,6812.0,8561.6, ,2916.0,3406.0,4280.8, ,1458.0,2024.0,2461.4, , ,1.1680384087791496,1.1680384087791496,1.1680384087791496,1.3882030178326474, ,0.1182022051952906,0.2364044103905812,0.4728088207811624,0.8222962541642967, ,41530, ,0.048735853599807366, ,0.4123091740910186
