conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
1,2527872,123904,3520,256, ,0.802816,0.023232, ,50.380102040816325,85.33333333333333, ,50176,726,2,1, ,576,4609,1464096,1.82152263239569,0.07797302909098856,2666884,114160, ,1464096.0,2666884.0,4130980.0, ,732048.0,1333442.0,2065490.0, ,366024.0,666721.0,1032745.0, ,183012.0,333360.5,516372.5, , ,1.82152263239569,1.82152263239569,1.82152263239569,1.82152263239569, ,0.027635089010355895,0.05527017802071179,0.11054035604142358,0.22108071208284716
2,36000,153600,2592,384, ,0.046656,0.3072, ,12.345679012345679,8.0, ,2916,6400,3,1, ,36,5338,874800,0.2296707818930041,0.0357201646090535,200916,31248, ,874800.0,200916.0,935074.8, ,437400.0,100458.0,467537.4, ,218700.0,50229.0,233768.7, ,109350.0,31248.0,118724.4, , ,0.2296707818930041,0.2296707818930041,0.2296707818930041,0.285761316872428, ,0.03341764744381947,0.06683529488763894,0.13367058977527788,0.26319779253464326
3,42120,82944,1248,192, ,0.032448,0.663552, ,20.76923076923077,2.0, ,2028,6912,6,1, ,36,3508,438048,0.29755643217181676,0.10900175323252247,130344,47748, ,438048.0,130344.0,477151.2, ,219024.0,65172.0,238575.6, ,109512.0,47748.0,123836.4, ,54756.0,47748.0,69080.4, , ,0.29755643217181676,0.29755643217181676,0.43600701293008987,0.8720140258601797, ,0.10006890897476522,0.20013781794953045,0.3855732240278303,0.6911946080219571
4,56160,110592,832,128, ,0.064896,0.884736, ,13.846153846153847,2.0, ,4056,13824,4,1, ,36,4655,584064,0.29155024106947186,0.0995233399079553,170284,58128, ,584064.0,170284.0,635149.2, ,292032.0,85142.0,317574.6, ,146016.0,58128.0,163454.4, ,73008.0,58128.0,90446.4, , ,0.29155024106947186,0.29155024106947186,0.3980933596318212,0.7961867192636424, ,0.09151865419967467,0.18303730839934934,0.3556221184623969,0.6426789789311681
5,37440,73728,832,128, ,0.043264,0.589824, ,13.846153846153847,2.0, ,2704,9216,4,1, ,24,4666,389376,0.294543063773833,0.10194773175542406,114688,39696, ,389376.0,114688.0,423782.4, ,194688.0,57344.0,211891.2, ,97344.0,39696.0,109252.8, ,48672.0,39696.0,60580.8, , ,0.294543063773833,0.294543063773833,0.4077909270216962,0.8155818540433925, ,0.09367071402682131,0.18734142805364262,0.3633408022494618,0.6552571111639331
6,576,2359296,1024,1024, ,0.009216,37.748736, ,1.0,1.0, ,9216,2359296,1,1, ,672,3513,2360896,1.0000406625281248,1.000108433408333,2360992,2361152, ,2360896.0,2361152.0,3541600.0, ,1180448.0,2361152.0,2951376.0, ,590224.0,2361152.0,2656264.0, ,295112.0,2361152.0,2508708.0, , ,1.000108433408333,2.000216866816666,4.000433733633332,8.000867467266664, ,0.6666907612378586,0.800017347840465,0.8888995973291811,0.9411824732093174
7,256,1048576,1024,1024, ,0.004096,16.777216, ,1.0,1.0, ,4096,1048576,1,1, ,320,3280,1049856,1.0,1.0002438429651304,1049856,1050112, ,1049856.0,1050112.0,1575040.0, ,524928.0,1050112.0,1312576.0, ,262464.0,1050112.0,1181344.0, ,131232.0,1050112.0,1115728.0, , ,1.0002438429651304,2.0004876859302607,4.000975371860521,8.001950743721043, ,0.6667208451848842,0.8000390072651031,0.8889129669258066,0.9411899674472631
8,256,262144,256,256, ,0.004096,4.194304, ,1.0,1.0, ,4096,262144,1,1, ,80,3283,262656,1.0001827485380117,1.000243664717349,262704,262720, ,262656.0,262720.0,394048.0, ,131328.0,262720.0,328384.0, ,65664.0,262720.0,295552.0, ,32832.0,262720.0,279136.0, , ,1.000243664717349,2.000487329434698,4.000974658869396,8.001949317738791, ,0.6667208055871366,0.8000389787565777,0.8889129493287137,0.9411899575834002
 
resadd number,stream (total) A load,stream (total) B load,stream (total) C store, ,1 core prediction,2 core prediction,4 core prediction,8 core prediction,from dram, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
 
total cycle prediction,12112825.600000001,7893404.800000001,5796217.3,4758776.5
