conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
1,243360,125440,23232,640, ,0.802816,0.009408, ,4.8501275510204085,213.33333333333334, ,50176,147,4,1, ,144,2722,2458624,0.16452780091628488,0.08723416024573094,404512,214476, ,2458624.0,404512.0,2863136.0, ,1229312.0,214476.0,1443788.0, ,614656.0,214476.0,829132.0, ,307328.0,214476.0,521804.0, , ,0.16452780091628488,0.17446832049146188,0.34893664098292376,0.6978732819658475, ,0.07490946989594627,0.14855089528379511,0.25867533758195316,0.4110278955316556
2,12544,6400,3136,640, ,0.200704,0.004096, ,1.0,25.0, ,320,256,1,40, ,25,883,50176,0.6899513711734694,0.26785714285714285,34619,13440, ,50176.0,34619.0,60561.7, ,25088.0,17309.5,30280.85, ,12544.0,13440.0,17203.2, ,6272.0,13440.0,15321.6, , ,0.6899513711734694,0.6899513711734694,1.0714285714285714,2.142857142857143, ,0.22192243612712326,0.4438448722542465,0.78125,0.8771929824561403
3,37632,193536,10752,1344, ,0.200704,0.110592, ,3.0,28.0, ,12544,2304,3,1, ,84,2880,1354752,0.20634920634920634,0.0338718820861678,279552,45888, ,1354752.0,279552.0,1438617.6, ,677376.0,139776.0,719308.8, ,338688.0,69888.0,359654.4, ,169344.0,45888.0,183110.4, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.2709750566893424, ,0.031897288063207345,0.06379457612641469,0.12758915225282938,0.25060291496277654
4,9408,5376,784,160, ,0.150528,0.012288, ,1.0,7.0, ,960,768,1,10, ,7,2224,37632,0.49702380952380953,0.35799319727891155,18704,13472, ,37632.0,18704.0,43243.2, ,18816.0,13472.0,22857.6, ,9408.0,13472.0,16294.4, ,4704.0,13472.0,14883.2, , ,0.49702380952380953,0.7159863945578231,1.4319727891156462,2.8639455782312924, ,0.3115403115403116,0.5893882122357553,0.8267871170463472,0.9051816813588475
5,9408,11520,1176,240, ,0.150528,0.018432, ,1.0,10.0, ,960,1152,1,10, ,10,2210,56448,0.47484410430839,0.27465986394557823,26804,15504, ,56448.0,26804.0,64489.2, ,28224.0,15504.0,32875.2, ,14112.0,15504.0,19737.6, ,7056.0,15504.0,17620.8, , ,0.47484410430839,0.5493197278911565,1.098639455782313,2.197278911564626, ,0.24041234811410284,0.4716016936779092,0.7855058365758756,0.8798692454372106
6,9216,55296,1792,256, ,0.075264,0.110592, ,1.9591836734693877,8.0, ,4704,3456,2,1, ,32,2072,338688,0.21428571428571427,0.03968253968253968,72576,13440, ,338688.0,72576.0,360460.8, ,169344.0,36288.0,180230.4, ,84672.0,18144.0,90115.2, ,42336.0,13440.0,46368.0, , ,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.31746031746031744, ,0.037285607755406416,0.07457121551081283,0.14914243102162567,0.2898550724637681
7,9408,192,3136,40, ,0.150528,0.003072, ,1.0,1.0, ,960,192,1,10, ,3,4245,12736,1.061479271356784,0.8184673366834171,13519,10424, ,12736.0,13519.0,19887.0, ,6368.0,10424.0,13608.0, ,3184.0,10424.0,12016.0, ,1592.0,10424.0,11220.0, , ,1.061479271356784,1.6369346733668342,3.2738693467336684,6.547738693467337, ,0.5241615125458843,0.7660199882422105,0.8675099866844208,0.9290552584670232
8,720,1152,448,32, ,0.012544,0.004608, ,0.9183673469387755,4.0, ,784,288,1,1, ,3,773,14112,0.2754393424036281,0.13378684807256236,3887,1888, ,14112.0,3887.0,15278.1, ,7056.0,1943.5,7639.05, ,3528.0,1888.0,4094.4, ,1764.0,1888.0,2417.2, , ,0.2754393424036281,0.2754393424036281,0.5351473922902494,1.0702947845804989, ,0.12357557549695315,0.2471511509939063,0.4611176240719031,0.7810690054608639
9,9408,1536,392,80, ,0.150528,0.006144, ,1.0,4.0, ,960,384,1,10, ,4,2834,18816,0.6857993197278912,0.6079931972789115,12904,11440, ,18816.0,12904.0,22687.2, ,9408.0,11440.0,14262.4, ,4704.0,11440.0,12851.2, ,2352.0,11440.0,12145.6, , ,0.6857993197278912,1.215986394557823,2.431972789115646,4.863945578231292, ,0.5042490919990127,0.802109041956473,0.8901892430278884,0.9419048873666184
10,25088,20480,1568,320, ,0.200704,0.032768, ,2.0,10.0, ,1280,2048,1,10, ,20,2356,100352,0.5320471938775511,0.2110969387755102,53392,21184, ,100352.0,53392.0,116369.6, ,50176.0,26696.0,58184.8, ,25088.0,21184.0,31443.2, ,12544.0,21184.0,24947.2, , ,0.5320471938775511,0.5320471938775511,0.8443877551020408,1.6887755102040816, ,0.18204067041564118,0.36408134083128235,0.6737227763077549,0.849153412006157
