conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
1,243360,125440,23232,640, ,0.802816,0.009408, ,4.8501275510204085,213.33333333333334, ,50176,147,4,1, ,144,2722,2458624,0.16452780091628488,0.08723416024573094,404512,214476, ,2458624.0,404512.0,2863136.0, ,1229312.0,214476.0,1443788.0, ,614656.0,214476.0,829132.0, ,307328.0,214476.0,521804.0, , ,0.16452780091628488,0.17446832049146188,0.34893664098292376,0.6978732819658475, ,0.07490946989594627,0.14855089528379511,0.25867533758195316,0.4110278955316556
2,12544,6400,3136,640, ,0.200704,0.004096, ,1.0,25.0, ,320,256,1,40, ,25,883,50176,0.6899513711734694,0.26785714285714285,34619,13440, ,50176.0,34619.0,60561.7, ,25088.0,17309.5,30280.85, ,12544.0,13440.0,17203.2, ,6272.0,13440.0,15321.6, , ,0.6899513711734694,0.6899513711734694,1.0714285714285714,2.142857142857143, ,0.22192243612712326,0.4438448722542465,0.78125,0.8771929824561403
3,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,93184.0,479539.2, ,225792.0,46592.0,239769.6, ,112896.0,23296.0,119884.8, ,56448.0,15296.0,61036.8, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.2709750566893424, ,0.031897288063207345,0.06379457612641469,0.12758915225282938,0.25060291496277654
4,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.26785714285714285,141256,53760, ,200704.0,141256.0,243080.8, ,100352.0,70628.0,121540.4, ,50176.0,53760.0,68812.8, ,25088.0,53760.0,61286.4, , ,0.7038026147959183,0.7038026147959183,1.0714285714285714,2.142857142857143, ,0.2211610295835788,0.4423220591671576,0.78125,0.8771929824561403
5,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.33035714285714285,141256,66304, ,200704.0,141256.0,243080.8, ,100352.0,70628.0,121540.4, ,50176.0,66304.0,81356.8, ,25088.0,66304.0,73830.4, , ,0.7038026147959183,0.7038026147959183,1.3214285714285714,2.642857142857143, ,0.2727652698197472,0.5455305396394944,0.8149779735682819,0.8980582524271845
6,50176,25600,3136,640, ,0.802816,0.016384, ,1.0,25.0, ,1280,1024,1,40, ,25,3156,200704,0.4556162308673469,0.07079081632653061,91444,14208, ,200704.0,91444.0,228137.2, ,100352.0,45722.0,114068.6, ,50176.0,22861.0,57034.3, ,25088.0,14208.0,29350.4, , ,0.4556162308673469,0.4556162308673469,0.4556162308673469,0.5663265306122449, ,0.06227831322555023,0.12455662645110047,0.24911325290220093,0.4840819886611426
7,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,93184.0,479539.2, ,225792.0,46592.0,239769.6, ,112896.0,23296.0,119884.8, ,56448.0,15296.0,61036.8, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.2709750566893424, ,0.031897288063207345,0.06379457612641469,0.12758915225282938,0.25060291496277654
8,37632,40960,12544,2560, ,0.200704,0.016384, ,3.0,40.0, ,320,1024,1,40, ,120,759,200704,0.7038026147959183,0.26785714285714285,141256,53760, ,200704.0,141256.0,243080.8, ,100352.0,70628.0,121540.4, ,50176.0,53760.0,68812.8, ,25088.0,53760.0,61286.4, , ,0.7038026147959183,0.7038026147959183,1.0714285714285714,2.142857142857143, ,0.2211610295835788,0.4423220591671576,0.78125,0.8771929824561403
9,50176,25600,3136,640, ,0.802816,0.016384, ,1.0,25.0, ,1280,1024,1,40, ,25,3156,200704,0.4556162308673469,0.07079081632653061,91444,14208, ,200704.0,91444.0,228137.2, ,100352.0,45722.0,114068.6, ,50176.0,22861.0,57034.3, ,25088.0,14208.0,29350.4, , ,0.4556162308673469,0.4556162308673469,0.4556162308673469,0.5663265306122449, ,0.06227831322555023,0.12455662645110047,0.24911325290220093,0.4840819886611426
10,12544,64512,3584,448, ,0.200704,0.036864, ,1.0,28.0, ,12544,2304,1,1, ,28,2880,451584,0.20634920634920634,0.0338718820861678,93184,15296, ,451584.0,93184.0,479539.2, ,225792.0,46592.0,239769.6, ,112896.0,23296.0,119884.8, ,56448.0,15296.0,61036.8, , ,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.2709750566893424, ,0.031897288063207345,0.06379457612641469,0.12758915225282938,0.25060291496277654
